Year,Month_reported,State, Crime_rate ,Crime_occurrence_frequency,Armed Robbery,Kidnapping,Oil Bunkering,Piracy,Cultism,Human Trafficking,Drug Trafficking,Vandalism,UnemploymentRate,PovertyRate,Most_prevalent_crime
2002,1,Abia, 29.4 ,15,No,No,No,No,Yes,No,No,Yes,30,50,Cultism
2002,2,Abia, 28.5 ,44,No,No,Yes,No,Yes,Yes,Yes,No,30,50,Oil Bunkering
2002,3,Abia, 24.2 ,62,No,No,Yes,No,Yes,No,Yes,Yes,30,50,Oil Bunkering
2002,4,Abia, 27.5 ,6,No,Yes,Yes,Yes,Yes,Yes,No,No,30,50,Kidnapping
2002,5,Abia, 24.6 ,66,No,No,No,Yes,Yes,No,Yes,No,30,50,Piracy
2002,6,Abia, 28.3 ,76,No,No,Yes,No,Yes,Yes,No,Yes,30,50,Oil Bunkering
2002,7,Abia, 35.8 ,4,Yes,Yes,No,Yes,No,No,Yes,No,30,50,Armed Robbery
2002,8,Abia, 5.5 ,23,Yes,No,No,Yes,No,Yes,Yes,Yes,30,50,Armed Robbery
2002,9,Abia, 37.5 ,13,No,Yes,Yes,No,No,No,No,No,30,50,Kidnapping
2002,10,Abia, 6.8 ,81,No,No,Yes,Yes,No,No,Yes,No,30,50,Oil Bunkering
2002,11,Abia, 3.3 ,31,No,No,Yes,No,No,No,Yes,No,30,50,Oil Bunkering
2002,12,Abia, 48.8 ,16,Yes,Yes,Yes,Yes,No,No,Yes,No,30,50,Armed Robbery
2003,1,Abia, 47.8 ,41,No,Yes,No,Yes,Yes,No,Yes,No,30,50,Kidnapping
2003,2,Abia, 3.0 ,90,Yes,No,Yes,Yes,No,No,Yes,No,30,50,Armed Robbery
2003,3,Abia, 22.2 ,92,Yes,No,Yes,No,Yes,No,No,Yes,30,50,Armed Robbery
2003,4,Abia, 9.3 ,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,30,50,Armed Robbery
2003,5,Abia, 24.3 ,12,Yes,Yes,No,Yes,No,Yes,No,No,30,50,Armed Robbery
2003,6,Abia, 41.5 ,56,Yes,No,Yes,No,No,No,Yes,Yes,30,50,Armed Robbery
2003,7,Abia, 47.5 ,50,No,Yes,Yes,No,No,No,Yes,No,30,50,Kidnapping
2003,8,Abia, 31.7 ,20,No,Yes,No,Yes,No,Yes,No,Yes,30,50,Kidnapping
2003,9,Abia, 17.7 ,66,No,No,No,No,No,Yes,No,Yes,30,50,Human Trafficking
2003,10,Abia, 30.2 ,36,No,Yes,Yes,Yes,No,No,Yes,No,30,50,Kidnapping
2003,11,Abia, 15.6 ,79,No,No,Yes,Yes,No,Yes,Yes,Yes,30,50,Oil Bunkering
2003,12,Abia, 45.5 ,38,Yes,No,Yes,No,Yes,Yes,No,No,30,50,Armed Robbery
2004,1,Abia, 43.5 ,22,No,No,Yes,No,No,No,No,Yes,30,50,Oil Bunkering
2004,2,Abia, 27.9 ,61,No,No,Yes,No,No,No,No,No,30,50,Oil Bunkering
2004,3,Abia, 16.2 ,50,Yes,No,No,Yes,Yes,No,No,Yes,30,50,Armed Robbery
2004,4,Abia, 14.7 ,96,No,Yes,No,No,No,Yes,Yes,No,30,50,Kidnapping
2004,5,Abia, 1.7 ,59,Yes,Yes,Yes,Yes,No,No,Yes,Yes,30,50,Armed Robbery
2004,6,Abia, 40.8 ,20,No,No,Yes,No,Yes,No,Yes,No,30,50,Oil Bunkering
2004,7,Abia, 22.5 ,36,Yes,No,No,Yes,No,Yes,Yes,Yes,30,50,Armed Robbery
2004,8,Abia, 16.3 ,97,No,Yes,Yes,No,No,No,Yes,No,30,50,Kidnapping
2004,9,Abia, 23.6 ,15,No,Yes,Yes,Yes,No,Yes,No,Yes,30,50,Kidnapping
2004,10,Abia, 40.9 ,62,Yes,Yes,Yes,No,No,Yes,No,No,30,50,Armed Robbery
2004,11,Abia, 6.2 ,3,Yes,Yes,Yes,Yes,No,Yes,No,Yes,30,50,Armed Robbery
2004,12,Abia, 42.9 ,93,Yes,No,Yes,No,No,Yes,Yes,No,30,50,Armed Robbery
2005,1,Abia, 44.9 ,91,Yes,No,No,No,Yes,Yes,No,No,30,50,Armed Robbery
2005,2,Abia, 47.3 ,5,Yes,Yes,Yes,Yes,No,Yes,Yes,No,30,50,Armed Robbery
2005,3,Abia, 19.9 ,56,Yes,No,Yes,No,No,No,Yes,No,30,50,Armed Robbery
2005,4,Abia, 10.9 ,31,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,30,50,Armed Robbery
2005,5,Abia, 18.7 ,86,Yes,No,No,Yes,Yes,No,No,Yes,30,50,Armed Robbery
2005,6,Abia, 16.6 ,35,No,Yes,No,No,No,Yes,Yes,Yes,30,50,Kidnapping
2005,7,Abia, 8.8 ,71,No,No,No,Yes,Yes,No,Yes,No,30,50,Piracy
2005,8,Abia, 30.4 ,70,Yes,Yes,No,No,No,Yes,No,No,30,50,Armed Robbery
2005,9,Abia, 23.8 ,26,No,Yes,Yes,No,No,No,Yes,No,30,50,Kidnapping
2005,10,Abia, 43.3 ,1,No,No,No,Yes,Yes,Yes,No,No,30,50,Piracy
2005,11,Abia, 1.6 ,83,No,Yes,Yes,No,No,No,Yes,No,30,50,Kidnapping
2005,12,Abia, 32.2 ,7,No,No,Yes,Yes,No,Yes,No,Yes,30,50,Oil Bunkering
2006,1,Abia, 38.1 ,36,Yes,No,No,Yes,Yes,No,Yes,Yes,30,50,Armed Robbery
2006,2,Abia, 38.0 ,76,No,Yes,No,No,Yes,Yes,Yes,Yes,30,50,Kidnapping
2006,3,Abia, 44.3 ,84,Yes,No,No,No,Yes,No,No,No,30,50,Armed Robbery
2006,4,Abia, 36.5 ,87,No,No,No,Yes,Yes,Yes,Yes,No,30,50,Piracy
2006,5,Abia, 46.4 ,25,No,No,No,Yes,No,No,No,No,30,50,Piracy
2006,6,Abia, 16.6 ,94,No,No,Yes,No,Yes,No,Yes,No,30,50,Oil Bunkering
2006,7,Abia, 25.2 ,59,Yes,No,No,No,Yes,No,No,No,30,50,Armed Robbery
2006,8,Abia, 0.7 ,61,No,Yes,No,No,Yes,Yes,Yes,No,30,50,Kidnapping
2006,9,Abia, 0.3 ,29,Yes,No,No,No,Yes,Yes,Yes,No,30,50,Armed Robbery
2006,10,Abia, 12.0 ,95,No,No,Yes,Yes,Yes,Yes,Yes,Yes,30,50,Oil Bunkering
2006,11,Abia, 5.0 ,18,Yes,No,No,No,No,Yes,No,Yes,30,50,Armed Robbery
2006,12,Abia, 13.0 ,41,No,No,Yes,Yes,Yes,Yes,No,No,30,50,Oil Bunkering
2007,1,Abia, 8.9 ,19,Yes,No,No,Yes,No,No,No,No,30,50,Armed Robbery
2007,2,Abia, 1.4 ,4,Yes,Yes,No,No,Yes,Yes,No,No,30,50,Armed Robbery
2007,3,Abia, 45.5 ,65,No,No,Yes,Yes,Yes,No,No,Yes,30,50,Oil Bunkering
2007,4,Abia, 0.4 ,41,Yes,Yes,No,No,Yes,No,Yes,Yes,30,50,Armed Robbery
2007,5,Abia, 36.8 ,15,No,Yes,Yes,Yes,Yes,Yes,Yes,No,30,50,Kidnapping
2007,6,Abia, 7.6 ,54,No,Yes,Yes,No,Yes,No,Yes,Yes,30,50,Kidnapping
2007,7,Abia, 45.6 ,64,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,30,50,Kidnapping
2007,8,Abia, 44.6 ,72,No,No,No,Yes,Yes,Yes,Yes,Yes,30,50,Piracy
2007,9,Abia, 32.7 ,15,No,Yes,No,No,Yes,Yes,No,No,30,50,Kidnapping
2007,10,Abia, 33.6 ,79,No,Yes,No,No,No,No,Yes,Yes,30,50,Kidnapping
2007,11,Abia, 0.3 ,50,No,No,Yes,Yes,Yes,Yes,No,Yes,30,50,Oil Bunkering
2007,12,Abia, 49.2 ,22,No,No,No,Yes,No,Yes,Yes,No,30,50,Piracy
2008,1,Abia, 43.9 ,18,No,No,Yes,No,Yes,Yes,No,No,30,50,Oil Bunkering
2008,2,Abia, 44.8 ,80,No,Yes,No,Yes,No,No,No,Yes,30,50,Kidnapping
2008,3,Abia, 33.0 ,2,No,No,Yes,No,Yes,Yes,No,No,30,50,Oil Bunkering
2008,4,Abia, 17.2 ,36,Yes,No,Yes,Yes,Yes,No,Yes,Yes,30,50,Armed Robbery
2008,5,Abia, 44.7 ,20,Yes,Yes,Yes,No,Yes,No,Yes,Yes,30,50,Armed Robbery
2008,6,Abia, 14.6 ,16,No,No,No,Yes,No,Yes,Yes,No,30,50,Piracy
2008,7,Abia, 28.1 ,67,No,No,Yes,No,No,No,Yes,No,30,50,Oil Bunkering
2008,8,Abia, 5.0 ,30,No,No,Yes,No,No,No,No,Yes,30,50,Oil Bunkering
2008,9,Abia, 46.1 ,55,No,No,Yes,Yes,No,Yes,No,No,30,50,Oil Bunkering
2008,10,Abia, 7.0 ,66,No,Yes,Yes,No,Yes,Yes,No,No,30,50,Kidnapping
2008,11,Abia, 11.2 ,99,No,No,Yes,Yes,Yes,Yes,No,Yes,30,50,Oil Bunkering
2008,12,Abia, 27.9 ,26,No,No,Yes,No,Yes,No,Yes,Yes,30,50,Oil Bunkering
2009,1,Abia, 38.2 ,57,No,Yes,No,No,No,Yes,No,Yes,30,50,Kidnapping
2009,2,Abia, 31.0 ,69,Yes,No,No,No,Yes,No,Yes,Yes,30,50,Armed Robbery
2009,3,Abia, 11.6 ,2,No,Yes,Yes,Yes,No,No,No,Yes,30,50,Kidnapping
2009,4,Abia, 0.0 ,56,Yes,No,No,No,No,No,No,Yes,30,50,Armed Robbery
2009,5,Abia, 37.9 ,84,No,Yes,No,Yes,No,No,No,No,30,50,Kidnapping
2009,6,Abia, 49.3 ,62,No,Yes,Yes,No,No,No,Yes,No,30,50,Kidnapping
2009,7,Abia, 40.5 ,34,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,30,50,Armed Robbery
2009,8,Abia, 23.0 ,98,No,Yes,Yes,Yes,Yes,Yes,No,No,30,50,Kidnapping
2009,9,Abia, 45.2 ,56,Yes,No,No,Yes,No,No,No,No,30,50,Armed Robbery
2009,10,Abia, 20.5 ,55,No,Yes,Yes,No,No,No,No,Yes,30,50,Kidnapping
2009,11,Abia, 26.2 ,20,No,No,No,Yes,Yes,Yes,Yes,No,30,50,Piracy
2009,12,Abia, 23.9 ,50,Yes,Yes,Yes,No,No,Yes,Yes,No,30,50,Armed Robbery
2010,1,Abia, 22.4 ,25,No,Yes,No,Yes,No,No,Yes,Yes,30,50,Kidnapping
2010,2,Abia, 38.8 ,84,Yes,Yes,Yes,Yes,Yes,No,No,No,30,50,Armed Robbery
2010,3,Abia, 26.3 ,25,No,No,Yes,Yes,Yes,Yes,Yes,No,30,50,Oil Bunkering
2010,4,Abia, 15.8 ,53,Yes,Yes,No,Yes,Yes,Yes,No,Yes,30,50,Armed Robbery
2010,5,Abia, 12.9 ,14,Yes,No,No,No,No,No,Yes,No,30,50,Armed Robbery
2010,6,Abia, 1.9 ,60,No,No,No,Yes,Yes,Yes,No,No,30,50,Piracy
2010,7,Abia, 29.2 ,43,No,No,No,Yes,Yes,Yes,No,No,30,50,Piracy
2010,8,Abia, 11.5 ,62,Yes,No,No,No,Yes,No,Yes,Yes,30,50,Armed Robbery
2010,9,Abia, 7.4 ,76,No,No,No,Yes,No,No,No,Yes,30,50,Piracy
2010,10,Abia, 32.7 ,69,No,No,Yes,Yes,Yes,No,No,No,30,50,Oil Bunkering
2010,11,Abia, 34.1 ,63,No,No,No,Yes,No,Yes,No,No,30,50,Piracy
2010,12,Abia, 37.6 ,2,Yes,No,Yes,Yes,No,No,Yes,Yes,30,50,Armed Robbery
2011,1,Abia, 25.2 ,54,Yes,No,Yes,No,Yes,Yes,No,Yes,30,50,Armed Robbery
2011,2,Abia, 44.7 ,16,Yes,Yes,No,No,No,No,Yes,No,30,50,Armed Robbery
2011,3,Abia, 46.8 ,55,Yes,Yes,Yes,Yes,No,No,Yes,Yes,30,50,Armed Robbery
2011,4,Abia, 40.4 ,94,Yes,Yes,No,No,Yes,Yes,No,No,30,50,Armed Robbery
2011,5,Abia, 31.8 ,43,Yes,Yes,No,No,No,Yes,Yes,No,30,50,Armed Robbery
2011,6,Abia, 15.2 ,61,Yes,Yes,Yes,Yes,Yes,No,No,Yes,30,50,Armed Robbery
2011,7,Abia, 49.1 ,38,Yes,No,Yes,No,No,No,Yes,Yes,30,50,Armed Robbery
2011,8,Abia, 13.7 ,45,Yes,No,No,Yes,No,Yes,No,No,30,50,Armed Robbery
2011,9,Abia, 10.1 ,51,No,No,No,No,Yes,No,Yes,No,30,50,Cultism
2011,10,Abia, 22.1 ,42,Yes,No,Yes,No,Yes,Yes,No,Yes,30,50,Armed Robbery
2011,11,Abia, 2.8 ,24,No,No,Yes,No,No,Yes,No,No,30,50,Oil Bunkering
2011,12,Abia, 48.9 ,30,No,No,Yes,Yes,No,No,No,Yes,30,50,Oil Bunkering
2012,1,Abia, 29.4 ,37,No,No,Yes,No,Yes,Yes,No,Yes,30,50,Oil Bunkering
2012,2,Abia, 27.8 ,53,Yes,Yes,No,Yes,No,Yes,Yes,Yes,30,50,Armed Robbery
2012,3,Abia, 32.8 ,63,Yes,Yes,No,Yes,No,Yes,Yes,Yes,30,50,Armed Robbery
2012,4,Abia, 24.9 ,11,Yes,Yes,No,No,No,No,No,Yes,30,50,Armed Robbery
2012,5,Abia, 1.6 ,78,Yes,Yes,No,Yes,No,Yes,Yes,No,30,50,Armed Robbery
2012,6,Abia, 30.6 ,23,No,No,Yes,No,Yes,No,No,Yes,30,50,Oil Bunkering
2012,7,Abia, 35.8 ,80,Yes,No,Yes,Yes,Yes,No,No,Yes,30,50,Armed Robbery
2012,8,Abia, 20.8 ,50,Yes,No,No,Yes,Yes,No,Yes,Yes,30,50,Armed Robbery
2012,9,Abia, 37.9 ,85,Yes,Yes,No,No,Yes,Yes,Yes,Yes,30,50,Armed Robbery
2012,10,Abia, 11.4 ,55,Yes,No,No,No,Yes,Yes,No,Yes,30,50,Armed Robbery
2012,11,Abia, 11.1 ,55,Yes,No,No,No,Yes,No,Yes,Yes,30,50,Armed Robbery
2012,12,Abia, 8.1 ,4,No,No,No,No,No,No,No,Yes,30,50,Vandalism
2013,1,Abia, 18.6 ,97,Yes,Yes,No,Yes,Yes,Yes,Yes,No,30,50,Armed Robbery
2013,2,Abia, 42.4 ,54,No,No,No,Yes,No,No,Yes,No,30,50,Piracy
2013,3,Abia, 41.4 ,61,Yes,Yes,No,Yes,No,No,Yes,No,30,50,Armed Robbery
2013,4,Abia, 19.1 ,78,No,Yes,No,No,No,Yes,Yes,No,30,50,Kidnapping
2013,5,Abia, 29.5 ,83,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,30,50,Armed Robbery
2013,6,Abia, 36.0 ,5,Yes,Yes,No,No,No,Yes,No,No,30,50,Armed Robbery
2013,7,Abia, 12.1 ,95,No,No,Yes,Yes,Yes,Yes,Yes,Yes,30,50,Oil Bunkering
2013,8,Abia, 8.4 ,18,No,Yes,Yes,No,No,No,Yes,No,30,50,Kidnapping
2013,9,Abia, 48.6 ,44,No,Yes,No,Yes,No,Yes,No,No,30,50,Kidnapping
2013,10,Abia, 30.9 ,31,Yes,No,No,Yes,Yes,Yes,No,Yes,30,50,Armed Robbery
2013,11,Abia, 49.1 ,94,No,No,Yes,No,No,Yes,No,Yes,30,50,Oil Bunkering
2013,12,Abia, 16.9 ,21,Yes,Yes,Yes,Yes,No,No,Yes,No,30,50,Armed Robbery
2014,1,Abia, 35.2 ,47,Yes,No,No,No,No,No,Yes,No,30,50,Armed Robbery
2014,2,Abia, 11.1 ,30,No,Yes,Yes,Yes,No,No,No,No,30,50,Kidnapping
2014,3,Abia, 13.1 ,55,No,Yes,No,Yes,Yes,Yes,No,No,30,50,Kidnapping
2014,4,Abia, 25.6 ,68,Yes,Yes,No,No,No,Yes,No,Yes,30,50,Armed Robbery
2014,5,Abia, 16.0 ,69,Yes,Yes,No,No,No,No,No,No,30,50,Armed Robbery
2014,6,Abia, 8.4 ,41,No,No,Yes,Yes,Yes,No,Yes,No,30,50,Oil Bunkering
2014,7,Abia, 13.1 ,45,No,Yes,Yes,Yes,No,Yes,Yes,No,30,50,Kidnapping
2014,8,Abia, 1.8 ,74,No,No,No,Yes,No,No,Yes,No,30,50,Piracy
2014,9,Abia, 35.2 ,91,Yes,No,Yes,Yes,No,No,Yes,No,30,50,Armed Robbery
2014,10,Abia, 24.6 ,80,Yes,No,Yes,Yes,No,No,Yes,Yes,30,50,Armed Robbery
2014,11,Abia, 4.7 ,30,Yes,No,Yes,Yes,Yes,No,No,Yes,30,50,Armed Robbery
2014,12,Abia, 8.6 ,77,Yes,Yes,Yes,No,No,No,Yes,Yes,30,50,Armed Robbery
2015,1,Abia, 5.1 ,85,Yes,No,Yes,No,Yes,Yes,No,Yes,30,50,Armed Robbery
2015,2,Abia, 30.6 ,45,Yes,Yes,Yes,No,No,No,No,Yes,30,50,Armed Robbery
2015,3,Abia, 4.7 ,45,No,No,Yes,Yes,No,No,No,No,30,50,Oil Bunkering
2015,4,Abia, 37.7 ,79,Yes,No,No,Yes,No,Yes,Yes,Yes,30,50,Armed Robbery
2015,5,Abia, 1.0 ,84,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,30,50,Armed Robbery
2015,6,Abia, 12.5 ,84,Yes,Yes,Yes,No,No,Yes,Yes,No,30,50,Armed Robbery
2015,7,Abia, 44.5 ,45,No,Yes,Yes,No,No,Yes,No,Yes,30,50,Kidnapping
2015,8,Abia, 35.9 ,55,Yes,No,Yes,Yes,Yes,No,Yes,Yes,30,50,Armed Robbery
2015,9,Abia, 3.6 ,59,Yes,No,Yes,Yes,Yes,No,No,Yes,30,50,Armed Robbery
2015,10,Abia, 41.1 ,5,No,Yes,Yes,No,Yes,No,Yes,Yes,30,50,Kidnapping
2015,11,Abia, 24.7 ,32,Yes,Yes,Yes,No,Yes,No,No,No,30,50,Armed Robbery
2015,12,Abia, 42.3 ,6,Yes,Yes,Yes,No,No,Yes,No,No,30,50,Armed Robbery
2016,1,Abia, 30.0 ,94,Yes,Yes,No,Yes,No,Yes,No,Yes,30,50,Armed Robbery
2016,2,Abia, 34.1 ,26,Yes,No,Yes,Yes,No,No,No,No,30,50,Armed Robbery
2016,3,Abia, 49.7 ,37,Yes,Yes,Yes,Yes,No,No,Yes,Yes,30,50,Armed Robbery
2016,4,Abia, 11.6 ,13,No,Yes,Yes,No,Yes,No,Yes,No,30,50,Kidnapping
2016,5,Abia, 31.2 ,93,No,Yes,Yes,No,No,No,Yes,No,30,50,Kidnapping
2016,6,Abia, 23.0 ,69,No,Yes,No,Yes,No,Yes,No,No,30,50,Kidnapping
2016,7,Abia, 2.0 ,25,Yes,No,No,Yes,No,No,No,No,30,50,Armed Robbery
2016,8,Abia, 0.7 ,13,Yes,Yes,No,No,No,Yes,No,No,30,50,Armed Robbery
2016,9,Abia, 6.0 ,88,Yes,No,No,Yes,Yes,Yes,No,No,30,50,Armed Robbery
2016,10,Abia, 32.5 ,95,No,Yes,No,No,No,Yes,No,No,30,50,Kidnapping
2016,11,Abia, 28.4 ,20,Yes,Yes,No,No,No,Yes,No,No,30,50,Armed Robbery
2016,12,Abia, 27.7 ,72,Yes,No,No,Yes,No,No,Yes,No,30,50,Armed Robbery
2017,1,Abia, 1.6 ,60,No,Yes,No,No,Yes,No,Yes,No,30,50,Kidnapping
2017,2,Abia, 23.5 ,73,Yes,No,No,Yes,Yes,No,Yes,No,30,50,Armed Robbery
2017,3,Abia, 46.2 ,21,No,No,No,No,No,No,Yes,Yes,30,50,Drug Trafficking
2017,4,Abia, 19.9 ,61,No,Yes,No,No,No,Yes,Yes,No,30,50,Kidnapping
2017,5,Abia, 31.2 ,84,No,No,No,Yes,No,Yes,Yes,Yes,30,50,Piracy
2017,6,Abia, 39.0 ,79,Yes,No,No,No,Yes,Yes,Yes,No,30,50,Armed Robbery
2017,7,Abia, 39.2 ,26,Yes,No,No,Yes,No,No,Yes,Yes,30,50,Armed Robbery
2017,8,Abia, 26.0 ,54,Yes,No,No,Yes,No,Yes,No,Yes,30,50,Armed Robbery
2017,9,Abia, 42.9 ,42,Yes,No,No,No,No,Yes,No,Yes,30,50,Armed Robbery
2017,10,Abia, 19.6 ,11,Yes,No,Yes,Yes,Yes,Yes,No,No,30,50,Armed Robbery
2017,11,Abia, 44.4 ,37,Yes,No,No,Yes,No,Yes,No,No,30,50,Armed Robbery
2017,12,Abia, 12.0 ,11,Yes,No,Yes,Yes,No,No,No,No,30,50,Armed Robbery
2018,1,Abia, 14.0 ,27,No,Yes,No,Yes,Yes,Yes,No,No,30,50,Kidnapping
2018,2,Abia, 2.7 ,94,Yes,Yes,No,Yes,Yes,Yes,No,Yes,30,50,Armed Robbery
2018,3,Abia, 39.8 ,83,No,No,Yes,Yes,No,No,Yes,No,30,50,Oil Bunkering
2018,4,Abia, 20.9 ,34,Yes,Yes,No,No,Yes,No,Yes,No,30,50,Armed Robbery
2018,5,Abia, 11.5 ,38,Yes,No,Yes,Yes,No,No,No,No,30,50,Armed Robbery
2018,6,Abia, 11.6 ,61,Yes,No,Yes,No,Yes,Yes,Yes,No,30,50,Armed Robbery
2018,7,Abia, 45.1 ,87,No,Yes,Yes,No,Yes,Yes,Yes,No,30,50,Kidnapping
2018,8,Abia, 41.7 ,53,No,No,No,Yes,No,Yes,Yes,No,30,50,Piracy
2018,9,Abia, 27.7 ,65,No,No,No,No,No,Yes,Yes,No,30,50,Human Trafficking
2018,10,Abia, 30.8 ,3,No,No,No,No,No,No,Yes,No,30,50,Drug Trafficking
2018,11,Abia, 23.7 ,67,Yes,No,Yes,Yes,Yes,Yes,No,Yes,30,50,Armed Robbery
2018,12,Abia, 19.6 ,28,No,Yes,Yes,Yes,No,Yes,Yes,Yes,30,50,Kidnapping
2019,1,Abia, 45.8 ,14,Yes,No,No,Yes,No,No,No,No,30,50,Armed Robbery
2019,2,Abia, 6.3 ,52,Yes,No,No,No,No,No,No,No,30,50,Armed Robbery
2019,3,Abia, 20.9 ,30,No,No,No,No,No,No,No,No,30,50,Armed Robbery
2019,4,Abia, 17.2 ,58,No,Yes,No,Yes,No,Yes,Yes,No,30,50,Kidnapping
2019,5,Abia, 24.9 ,54,No,No,No,Yes,Yes,Yes,No,Yes,30,50,Piracy
2019,6,Abia, 22.9 ,69,No,Yes,Yes,No,No,Yes,No,Yes,30,50,Kidnapping
2019,7,Abia, 25.9 ,15,No,Yes,Yes,No,No,Yes,No,No,30,50,Kidnapping
2019,8,Abia, 7.0 ,38,No,No,Yes,No,Yes,Yes,No,Yes,30,50,Oil Bunkering
2019,9,Abia, 25.7 ,78,No,No,No,No,No,No,Yes,Yes,30,50,Drug Trafficking
2019,10,Abia, 12.1 ,14,No,Yes,Yes,Yes,No,No,No,No,30,50,Kidnapping
2019,11,Abia, 9.2 ,57,Yes,No,Yes,No,No,Yes,No,No,30,50,Armed Robbery
2019,12,Abia, 3.2 ,59,No,Yes,Yes,No,No,Yes,No,No,30,50,Kidnapping
2020,1,Abia, 38.1 ,8,No,Yes,Yes,No,No,Yes,No,Yes,30,50,Kidnapping
2020,2,Abia, 21.4 ,72,Yes,No,Yes,No,Yes,Yes,Yes,Yes,30,50,Armed Robbery
2020,3,Abia, 31.3 ,19,No,No,No,Yes,Yes,Yes,No,No,30,50,Piracy
2020,4,Abia, 36.4 ,32,Yes,Yes,Yes,Yes,Yes,No,No,No,30,50,Armed Robbery
2020,5,Abia, 34.0 ,95,Yes,Yes,No,No,No,No,No,Yes,30,50,Armed Robbery
2020,6,Abia, 23.5 ,29,No,Yes,No,No,Yes,No,No,Yes,30,50,Kidnapping
2020,7,Abia, 19.4 ,41,Yes,Yes,No,Yes,No,Yes,No,No,30,50,Armed Robbery
2020,8,Abia, 18.8 ,75,Yes,No,No,Yes,No,Yes,No,Yes,30,50,Armed Robbery
2020,9,Abia, 32.0 ,45,Yes,No,No,No,No,No,Yes,No,30,50,Armed Robbery
2020,10,Abia, 24.7 ,13,Yes,No,Yes,No,Yes,No,No,No,30,50,Armed Robbery
2020,11,Abia, 42.5 ,27,No,No,Yes,Yes,Yes,Yes,Yes,Yes,30,50,Oil Bunkering
2020,12,Abia, 43.7 ,19,Yes,No,No,Yes,Yes,No,Yes,Yes,30,50,Armed Robbery
2021,1,Abia, 8.5 ,26,No,Yes,No,Yes,No,No,No,Yes,30,50,Kidnapping
2021,2,Abia, 6.8 ,53,Yes,No,No,Yes,Yes,Yes,Yes,No,30,50,Armed Robbery
2021,3,Abia, 31.5 ,51,Yes,No,Yes,Yes,No,No,No,No,30,50,Armed Robbery
2021,4,Abia, 15.1 ,37,Yes,No,No,Yes,Yes,No,Yes,No,30,50,Armed Robbery
2021,5,Abia, 0.9 ,9,Yes,No,Yes,No,Yes,No,No,No,30,50,Armed Robbery
2021,6,Abia, 44.4 ,92,No,No,No,Yes,No,Yes,Yes,No,30,50,Piracy
